,equity
2021-11-12 00:00:00+00:00,10633.21123949626
2021-11-15 00:00:00+00:00,10633.21123949626
2021-11-16 00:00:00+00:00,10544.415587985406
2021-11-17 00:00:00+00:00,10544.415587985406
2021-11-18 00:00:00+00:00,10544.415587985406
2021-11-19 00:00:00+00:00,10544.415587985406
2021-11-22 00:00:00+00:00,10544.415587985406
2021-11-23 00:00:00+00:00,10544.415587985406
2021-11-24 00:00:00+00:00,10544.415587985406
2021-11-25 00:00:00+00:00,10593.771811941355
2021-11-26 00:00:00+00:00,10635.457195611252
2021-11-29 00:00:00+00:00,10635.457195611252
2021-11-30 00:00:00+00:00,10635.457195611252
2021-12-01 00:00:00+00:00,10635.457195611252
2021-12-02 00:00:00+00:00,10635.457195611252
2021-12-03 00:00:00+00:00,10765.280491023017
2021-12-06 00:00:00+00:00,10765.280491023017
2021-12-07 00:00:00+00:00,10765.280491023017
2021-12-08 00:00:00+00:00,10815.234139307391
2021-12-09 00:00:00+00:00,10815.234139307391
2021-12-10 00:00:00+00:00,10815.234139307391
2021-12-13 00:00:00+00:00,10815.234139307391
2021-12-14 00:00:00+00:00,10815.234139307391
2021-12-15 00:00:00+00:00,10815.234139307391
2021-12-16 00:00:00+00:00,10814.735837520084
2021-12-17 00:00:00+00:00,10814.735837520084
2021-12-20 00:00:00+00:00,10814.735837520084
2021-12-21 00:00:00+00:00,10814.735837520084
2021-12-22 00:00:00+00:00,10814.735837520084
2021-12-23 00:00:00+00:00,10814.735837520084
2021-12-24 00:00:00+00:00,10814.735837520084
2021-12-27 00:00:00+00:00,10814.735837520084
2021-12-28 00:00:00+00:00,10814.735837520084
2021-12-29 00:00:00+00:00,10814.735837520084
2021-12-30 00:00:00+00:00,10814.735837520084
2021-12-31 00:00:00+00:00,10724.701564036117
2022-01-03 00:00:00+00:00,10724.701564036117
2022-01-04 00:00:00+00:00,10724.701564036117
2022-01-05 00:00:00+00:00,10724.701564036117
2022-01-06 00:00:00+00:00,10724.701564036117
2022-01-07 00:00:00+00:00,10675.519877439192
2022-01-10 00:00:00+00:00,10675.519877439192
2022-01-11 00:00:00+00:00,10703.305625497209
2022-01-12 00:00:00+00:00,10785.875453774082
2022-01-13 00:00:00+00:00,10785.875453774082
2022-01-14 00:00:00+00:00,10785.875453774082
2022-01-17 00:00:00+00:00,10785.875453774082
2022-01-18 00:00:00+00:00,10785.875453774082
2022-01-19 00:00:00+00:00,10785.875453774082
2022-01-20 00:00:00+00:00,10785.875453774082
2022-01-21 00:00:00+00:00,10785.323152415565
2022-01-24 00:00:00+00:00,10785.323152415565
2022-01-25 00:00:00+00:00,10785.323152415565
2022-01-26 00:00:00+00:00,10785.323152415565
2022-01-27 00:00:00+00:00,10866.663793567386
2022-01-28 00:00:00+00:00,10849.885603995606
2022-01-31 00:00:00+00:00,10849.885603995606
2022-02-01 00:00:00+00:00,10849.885603995606
2022-02-02 00:00:00+00:00,10799.338436487827
2022-02-03 00:00:00+00:00,10799.338436487827
2022-02-04 00:00:00+00:00,10799.338436487827
2022-02-07 00:00:00+00:00,10799.338436487827
2022-02-08 00:00:00+00:00,10799.338436487827
2022-02-09 00:00:00+00:00,10799.338436487827
2022-02-10 00:00:00+00:00,10799.338436487827
2022-02-11 00:00:00+00:00,10799.338436487827
2022-02-14 00:00:00+00:00,10799.131330461572
2022-02-15 00:00:00+00:00,10799.131330461572
2022-02-16 00:00:00+00:00,10799.131330461572
2022-02-17 00:00:00+00:00,10708.811304154413
2022-02-18 00:00:00+00:00,10708.811304154413
2022-02-21 00:00:00+00:00,10708.811304154413
2022-02-22 00:00:00+00:00,10693.131092771642
2022-02-23 00:00:00+00:00,10693.131092771642
2022-02-24 00:00:00+00:00,10553.581680530113
2022-02-25 00:00:00+00:00,10553.581680530113
2022-02-28 00:00:00+00:00,10553.581680530113
2022-03-01 00:00:00+00:00,10602.449327718145
2022-03-02 00:00:00+00:00,10602.449327718145
2022-03-03 00:00:00+00:00,10602.449327718145
2022-03-04 00:00:00+00:00,10602.449327718145
2022-03-07 00:00:00+00:00,10602.449327718145
2022-03-08 00:00:00+00:00,10602.449327718145
2022-03-09 00:00:00+00:00,10602.449327718145
2022-03-10 00:00:00+00:00,10602.449327718145
2022-03-11 00:00:00+00:00,10602.449327718145
2022-03-14 00:00:00+00:00,10602.449327718145
2022-03-15 00:00:00+00:00,10602.449327718145
2022-03-16 00:00:00+00:00,10602.449327718145
2022-03-17 00:00:00+00:00,10514.09499525667
2022-03-18 00:00:00+00:00,10514.09499525667
2022-03-21 00:00:00+00:00,10514.09499525667
2022-03-22 00:00:00+00:00,10514.09499525667
2022-03-23 00:00:00+00:00,10514.09499525667
2022-03-24 00:00:00+00:00,10514.09499525667
2022-03-25 00:00:00+00:00,10514.09499525667
2022-03-28 00:00:00+00:00,10514.09499525667
2022-03-29 00:00:00+00:00,10514.09499525667
2022-03-30 00:00:00+00:00,10514.09499525667
2022-03-31 00:00:00+00:00,10514.09499525667
2022-04-01 00:00:00+00:00,10514.09499525667
2022-04-04 00:00:00+00:00,10514.09499525667
2022-04-05 00:00:00+00:00,10563.390357350178
2022-04-06 00:00:00+00:00,10563.390357350178
